[2019-07-27T10:23:31,556][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:23:44,706][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:23:45,820][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:23:49,005][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:23:52,122][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:24:01,421][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:24:16,122][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:25:13,002][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:30:35,890][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:30:44,369][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:30:46,732][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:30:48,754][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:30:51,070][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:30:52,380][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:32:36,975][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:33:35,434][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:35:09,536][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:35:11,619][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:35:16,822][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:35:59,573][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:36:17,450][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:47:49,649][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:48:02,834][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:48:06,634][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:48:57,389][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:48:59,692][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:49:02,380][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:50:05,862][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:55:49,718][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:55:52,242][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:55:53,414][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:55:55,479][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:56:40,185][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:56:45,107][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:56:52,884][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:56:55,017][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T13:59:09,433][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T14:00:47,349][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T14:00:49,488][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
